# rank   time_seconds
  0 32.006432
  1 32.037783
  2 32.037983
  3 32.037370
  4 32.037227
  5 32.037385
  6 32.037338
  7 32.034271
  8 32.037769
  9 32.026523
 10 32.038100
 11 32.037335
 12 32.037289
 13 32.037451
 14 32.037603
 15 32.034672
 16 32.038054
 17 32.028370
 18 32.037602
 19 32.034457
 20 32.028355
 21 32.034343
 22 32.026818
 23 32.018507
 24 32.037131
