# rank   time_seconds
  0 28.405786
  1 28.405986
  2 28.397094
  3 28.412030
  4 28.398526
  5 28.414385
  6 28.405815
  7 28.384318
  8 28.382975
  9 28.372298
 10 28.412517
 11 28.368958
 12 28.376182
 13 28.411923
 14 28.416439
 15 28.405780
 16 28.406053
 17 28.399262
 18 28.404393
 19 28.359932
 20 28.400874
 21 28.403106
 22 28.416345
 23 28.405802
 24 28.405790
